day;start;end;description;length;activity;
17/02/2024;11:23;11:55;Sviluppo app;00:31;Zafu;
17/02/2024;14:13;14:26;Sviluppo app;00:13;Zafu;
17/02/2024;14:41;14:47;README;00:06;Zafu;
18/02/2024;14:18;14:45;Sistemazione CSS;00:26;Sito personale;
19/02/2024;09:15;09:55;;00:40;Sito personale;
19/02/2024;09:55;11:59;Testi per Ã†terni Animi;02:03;Renato;
19/02/2024;15:00;18:42;;03:42;Renato;
20/02/2024;08:32;10:39;Music.py;02:00;Renato;
20/02/2024;10:53;12:09;Music.py;01:15;Renato;
20/02/2024;13:06;15:35;Music.py;02:29;Renato;
20/02/2024;18:53;19:39;Music.py;00:45;Renato;
21/02/2024;08:00;08:58;Un modo si trova;00:58;Racconti;
21/02/2024;09:04;11:53;Music.py;02:23;Renato;
21/02/2024;12:30;13:25;Personal Accountability;00:38;Sito personale;
21/02/2024;13:26;15:06;Music.py;01:40;Renato;
21/02/2024;15:07;15:42;Personal Accountability;00:34;Sito personale;
21/02/2024;15:42;15:56;Corsi privati;00:14;Corsi privati;
21/02/2024;18:11;19:05;;00:53;Sito personale;
22/02/2024;08:34;08:49;Personal Accountability;00:14;Sito personale;
22/02/2024;08:50;12:37;Music.py;03:36;Renato;
22/02/2024;13:11;14:06;Music.py;00:54;Renato;
22/02/2024;15:20;16:01;Music.py;00:37;Renato;
22/02/2024;16:02;16:26;Corsi privati;00:24;Bottega Finzioni;
22/02/2024;16:27;16:55;Sito;00:27;ğ”¥ğ”¬ğ”²ğ”°ğ”¢ ğ”¬ğ”£ ğ”´ğ”¢ğ”¦ğ”¯ğ”¡ğ”¬ğ”°;
23/02/2024;07:10;08:13;Scrittura;01:01;Un modo si trova;
23/02/2024;08:59;10:15;Music.py;01:15;Renato;
23/02/2024;10:15;11:15;Call;01:00;Renato;
23/02/2024;11:29;11:50;Cessione del credito;00:20;Condominio;
23/02/2024;13:14;13:19;Icona;00:05;Zafu;
23/02/2024;14:14;15:05;Personal Accountability;00:51;Sito personale;
23/02/2024;16:36;17:45;;01:09;Leon;
23/02/2024;18:09;18:36;;00:26;Sito personale;
23/02/2024;18:36;18:48;Certificazioni uniche;00:12;Condominio;